lambda,pair_idx,baseline_accuracy_a,baseline_accuracy_b,cka_post_l0,cka_post_l1,unaligned_transplant_accuracy,procrustes_transplant_accuracy,steps_per_second
0.0,0,0.9576822916666667,0.9637044270833335,0.03138936124742031,0.2783488258719444,0.10615234374999999,0.10664062499999999,63.75811953838099
0.01,0,0.9612630208333333,0.9612630208333334,0.9222544282674789,0.9277502000331879,0.05973307291666666,0.06367187499999999,63.14352358652793
0.1,0,0.96240234375,0.9627278645833333,0.9916737526655197,0.9981776028871536,0.025878906249999997,0.5048502604166667,64.5381650595051
1.0,0,0.9573567708333334,0.9571940104166666,0.9992350786924362,0.9995246231555939,0.018391927083333332,0.1720703125,65.34275984104443
