"condition","adapter_accuracy","baseline_accuracy","bare_transplant_accuracy","steps_per_second"
"none",0.09505208333333333,0.9640299479166667,0.09505208333333333,""
"post_l0_linear",0.47906901041666666,0.9640299479166667,0.09505208333333333,241.38222584179255
"all4_linear",0.9560546875,0.9640299479166667,0.09505208333333333,230.22720839440333
"all4_mlp",0.9601236979166667,0.9640299479166667,0.09505208333333333,151.17907775682306
