"donor_seed","recipient_seed","k","accuracy","baseline_accuracy","zero_head_accuracy","recovery_fraction"
0,1,0,0.09505208333333333,0.9640299479166667,0.11783854166666666,0.09859868309978051
0,1,100,0.9580078125,0.9640299479166667,0.11783854166666666,0.9937531656255275
0,1,500,0.9628906250000001,0.9640299479166667,0.11783854166666666,0.9988181664696945
0,1,1000,0.9609375,0.9640299479166667,0.11783854166666666,0.9967921661320276
0,1,2000,0.9609375,0.9640299479166667,0.11783854166666666,0.9967921661320276
0,1,5000,0.9620768229166667,0.9640299479166667,0.11783854166666666,0.9979739996623332
0,1,10000,0.9645182291666667,0.9640299479166667,0.11783854166666666,1.0005065000844167
0,1,20000,0.96484375,0.9640299479166667,0.11783854166666666,1.000844166807361
0,3,0,0.4121419270833333,0.9628906250000001,0.46113281249999993,0.42802569303583493
0,3,100,0.9366861979166667,0.9628906250000001,0.46113281249999993,0.9727856659905341
0,3,500,0.9430338541666667,0.9628906250000001,0.46113281249999993,0.9793779580797836
0,3,1000,0.9444986979166667,0.9628906250000001,0.46113281249999993,0.9808992562542258
0,3,2000,0.951171875,0.9628906250000001,0.46113281249999993,0.9878296146044624
0,3,5000,0.9516601562500001,0.9628906250000001,0.46113281249999993,0.9883367139959433
0,3,10000,0.9591471354166667,0.9628906250000001,0.46113281249999993,0.9961122379986477
0,3,20000,0.96142578125,0.9628906250000001,0.46113281249999993,0.9984787018255576
1,4,0,0.04622395833333333,0.9620768229166667,0.058626302083333325,0.04804601590255455
1,4,100,0.9280273437500001,0.9620768229166667,0.058626302083333325,0.9646083572999492
1,4,500,0.9602864583333334,0.9620768229166667,0.058626302083333325,0.9981390627643376
1,4,1000,0.9611002604166667,0.9620768229166667,0.058626302083333325,0.9989849433260024
1,4,2000,0.9622395833333335,0.9620768229166667,0.058626302083333325,1.000169176112333
1,4,5000,0.9602864583333335,0.9620768229166667,0.058626302083333325,0.9981390627643377
1,4,10000,0.9630533854166667,0.9620768229166667,0.058626302083333325,1.0010150566739977
1,4,20000,0.962890625,0.9620768229166667,0.058626302083333325,1.0008458805616647
3,5,0,0.027832031249999997,0.9617513020833334,0.029947916666666664,0.02893890675241157
3,5,100,0.04280598958333333,0.9617513020833334,0.029947916666666664,0.04450837705195464
3,5,500,0.9601236979166667,0.9617513020833334,0.029947916666666664,0.9983076662717888
3,5,1000,0.9576822916666667,0.9617513020833334,0.029947916666666664,0.995769165679472
3,5,2000,0.9558919270833334,0.9617513020833334,0.029947916666666664,0.9939075985784397
3,5,5000,0.96142578125,0.9617513020833334,0.029947916666666664,0.9996615332543577
3,5,10000,0.96142578125,0.9617513020833334,0.029947916666666664,0.9996615332543577
3,5,20000,0.9627278645833334,0.9617513020833334,0.029947916666666664,1.0010154002369267
4,6,0,0.6017252604166667,0.9606119791666667,0.7823893229166667,0.6263978312436462
4,6,100,0.9544270833333334,0.9606119791666667,0.7823893229166667,0.9935615045747204
4,6,500,0.9479166666666667,0.9606119791666667,0.7823893229166667,0.986784140969163
4,6,1000,0.9508463541666667,0.9606119791666667,0.7823893229166667,0.9898339545916638
4,6,2000,0.9562174479166667,0.9606119791666667,0.7823893229166667,0.9954252795662487
4,6,5000,0.9599609375000001,0.9606119791666667,0.7823893229166667,0.9993222636394443
4,6,10000,0.9597981770833334,0.9606119791666667,0.7823893229166667,0.9991528295493053
4,6,20000,0.9583333333333334,0.9606119791666667,0.7823893229166667,0.9976279227380549
